Device Time, 0-100kph Time(s),Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Engine Coolant Temperature(°C),Fuel Rail Pressure(psi),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Voltage (OBD Adapter)(V)
15-Jan-2022 17:14:43.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:45.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:47.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:49.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:51.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:53.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:55.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:57.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:59.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:15:01.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:15:03.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
