GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Voltage (OBD Adapter)(V)
Sun Dec 26 13:06:59 GMT 2021,26-Dec-2021 13:06:59.698,-9.18627,51.95656999999999,0.31861305,2.2,207.8,249.2,0.28,5.985,6.562,-0.01048262,0.0,0.41999998688697815,1.1470069885253906,11.5
Sun Dec 26 13:07:00 GMT 2021,26-Dec-2021 13:07:00.698,-9.186275,51.956558333333334,0.53170806,2.2,207.8,209.11,-0.111,4.259,8.837,0.012885068,0.0,0.41999998688697815,1.9141489267349243,11.5
Sun Dec 26 13:07:01 GMT 2021,26-Dec-2021 13:07:01.698,-9.186273333333332,51.95653166666666,0.32170138,2.2,207.9,182.66,0.045,4.023,8.916,0.01611495,0.0,0.41999998688697815,1.1581249237060547,11.5
Sun Dec 26 13:07:02 GMT 2021,26-Dec-2021 13:07:02.698,-9.186271666666666,51.95652,0.33096638,2.2,208.0,167.39,-0.19,4.416,8.759,0.0038132253,0.0,0.41999998688697815,1.191478967666626,11.5
Sun Dec 26 13:07:03 GMT 2021,26-Dec-2021 13:07:03.698,-9.186276666666666,51.956511666666664,0.35721722,2.1,208.1,175.88,0.594,5.436,7.896,-0.029912729,0.0,0.41999998688697815,1.2859820127487183,11.5
Sun Dec 26 13:07:04 GMT 2021,26-Dec-2021 13:07:04.698,-9.186276666666666,51.95650833333334,0.36957055,2.1,208.1,156.83,0.437,5.2,8.21,0.0014194791,0.0,0.41999998688697815,1.3304539918899536,11.5
Sun Dec 26 13:07:05 GMT 2021,26-Dec-2021 13:07:05.698,-9.18628,51.956509999999994,0.38295335,2.1,208.3,157.22,0.515,5.043,8.837,0.010848936,0.0,0.41999998688697815,1.3786319494247437,11.5
Sun Dec 26 13:07:06 GMT 2021,26-Dec-2021 13:07:06.698,-9.186276666666666,51.956509999999994,0.38295335,2.1,208.3,128.6,-1.837,6.142,7.033,-0.0013931573,0.0,0.41999998688697815,1.3786319494247437,11.5
Sun Dec 26 13:07:07 GMT 2021,26-Dec-2021 13:07:07.698,-9.186285,51.95651666666666,0.38295335,2.1,208.3,65.38,-1.21,5.514,8.131,0.028027236,0.0,0.41999998688697815,1.3786319494247437,11.5
Sun Dec 26 13:07:08 GMT 2021,26-Dec-2021 13:07:08.698,-9.186285,51.95651833333333,0.37420306,2.1,208.3,35.8,-0.19,5.279,7.974,0.005002016,0.0,0.41999998688697815,1.3471310138702393,11.5
